iShares Core S&P 500 ETF
Fund Holdings as of,"Jan 21, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,100,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"UNP","UNION PACIFIC CORP","Industrials","Equity","1,749,782,102.81","0.23","1,749,782,102.81","7,627,979.00","229.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","1,748,691,063.36","0.23","1,748,691,063.36","19,067,616.00","91.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","1,712,258,483.66","0.23","1,712,258,483.66","3,233,666.00","529.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","1,690,637,012.46","0.22","1,690,637,012.46","13,281,774.00","127.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","1,688,362,318.16","0.22","1,688,362,318.16","4,995,746.00","337.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","1,671,931,779.00","0.22","1,671,931,779.00","13,343,430.00","125.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","1,669,043,828.54","0.22","1,669,043,828.54","14,036,194.00","118.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,654,526,051.22","0.22","1,654,526,051.22","16,497,418.00","100.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","1,641,976,380.00","0.22","1,641,976,380.00","8,827,830.00","186.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","1,606,743,001.74","0.21","1,606,743,001.74","4,427,021.00","362.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","1,596,500,472.00","0.21","1,596,500,472.00","8,797,600.00","181.47","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,584,171,392.98","0.21","1,584,171,392.98","5,384,126.00","294.23","United States","NASDAQ","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","1,566,783,609.68","0.21","1,566,783,609.68","11,947,412.00","131.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
